Num. Id;Nombre;Precio;Disponibilidad;Autor;BGG;Temática;Si Buscas...;Edad;Núm. jugadores;Tiempo de juego;Medidas;Complejidad;Editorial;Dependencia del idioma;Mecánica;Idioma;ranking
1969;Similo Mitos;9.99;Disponible;;;Mitología;Cooperativo, Rápido, Viaje;de 8 a 10 años, de 10 a 14 años, de 14 a 18 años, más de 18 años;2, 3, 4, 5, 6, 7, 8, +8;10 min;142 x 83 x 20 mm;Fácil;Asmodée;Nula (Sólo instrucciones);Deducción e Investigación;;
1970;El Dorado - Héroes y Demonios;35.95;Disponible;Reiner Knizia;246431;Maya;Familiares, Eurogame;de 10 a 14 años, de 14 a 18 años, más de 18 años;2, 3, 4;30 - 60 min;;Fácil;Ravensburger;Poca;Creación de mazo;Español;7,66038
1971;El Dorado;40.45;Disponible;Reiner Knizia;217372;Maya;Familiares;de 10 a 14 años, de 14 a 18 años, más de 18 años;2, 3, 4;;295 x 295 x 70 mm;Fácil;Ravensburger;Nula (Sólo instrucciones);Creación de mazo;Español, Italiano;7,6104
1972;Los odiosos 7;10.75;Disponible;;186302;;;de 8 a 10 años, de 10 a 14 años, de 14 a 18 años;2, 3, 4, 5, 6;20;;;Mercurio;;;;6,53056
1973;Serie Q: Muerte el 4 de Julio;7.2;Disponible;;;Detectivesca;Familiares, Cooperativo, Solitario, Viaje;de 10 a 14 años, de 14 a 18 años;1, 2, 3, 4, 5, 6, 7, 8;60;;;GDM Games;;Deducción e Investigación;;
1974;Star Wars LCG: Confía en la fuerza;11.36;Disponible;;;;;de 8 a 10 años, de 10 a 14 años, de 14 a 18 años;2;60;90 x 150 x 24 mm;Medio;Edge Entertainment;Media;LCG;Español;
1975;Star Realms: Crisis Héroes;2.69;Disponible;;;Ciencia Ficción;Para 2;de 14 a 18 años, más de 18 años;2;;;;Devir;;Creación de mazo;;
1976;Ponzi Scheme;54;Disponible;;180899;;;de 10 a 14 años, de 14 a 18 años;3, 4, 5;60 - 90;;;2 Tomatoes;;;Español;7,18788
1977;Camel Up: El camello árbitro;5.35;Disponible;;;;;de 6 a 8 años, de 8 a 10 años, de 10 a 14 años, de 14 a 18 años;2, 3, 4, 5, 6, 7, 8, +8;30 - 45;;;MasQueOca;;;;
1978;Las Leyendas de Andor: La última esperanza;0;No está disponible;Michael Menzel;198287;Espada y Brujería;;de 10 a 14 años, de 14 a 18 años;2, 3, 4;60 - 90 min;295 x 295 x 70 mm;Medio;Devir;Alta;;Español;7,93469
1979;Una columna de fuego;21.06;Disponible;;;;;de 10 a 14 años, de 14 a 18 años;2, 3, 4;60 - 90;;;Devir;;Gestión de recursos;;
1980;Flick ´em up! Dead of Winter;22.48;Disponible;;207016;Postapocalíptico, Zombies;;de 8 a 10 años, de 10 a 14 años, de 14 a 18 años;2, 3, 4, 5, 6, 7, 8, +8;30 - 45 minutos;;;Ludonova;;Negociación;;6,73828
1981;Pocket Ops;13.5;Disponible;;216234;;;de 6 a 8 años, de 8 a 10 años, de 10 a 14 años, de 14 a 18 años;2;10 - 20;;;GDM Games;;;;6,50549
1982;Stickman;12.17;Disponible;;;;;;;;;;Gen X Games;;;;
